// all values are decimal equivilents of fftext

AB		EN		AB\x	EN\x
A		E		34		38
B		P		35		49
C		S		36		52
D		T		37		53
E		I		38		42
F		W		39		56
G		K		40		44
H		N		41		47
I		U		42		54
J		V		43		55
K		G		44		40
L		C		45		36
M		L		46		45
N		R		47		51
O		Y		48		58
P		B		49		35
Q		X		50		57
R		H		51		41
S		M		52		46
T		D		53		37
U		O		54		48
V		F		55		39
W		Z		56		59
X		Q		57		50
Y		A		58		34
Z		J		59		43
----------------------------
a		e		66		70
b		p		67		81
c		s		68		84
d		t		69		85
e		i		70		74
f		w		71		88
g		k		72		76
h		n		73		79
i		u		74		86
j		v		75		87
k		g		76		72
l		c		77		68
m		l		78		77
n		r		79		83
o		y		80		90
p		b		81		67
q		x		82		89
r		h		83		73
s		m		84		78
t		d		85		69
u		o		86		80
v		f		87		71
w		z		88		91
x		q		89		82
y		a		90		66
z		j		91		75
